,Session,Question,Question from,Party,Date Dated,Date Answered
1912,2019-2020," Mitt spørsmål går til forsvarsministeren. 

Nå får Forsvaret nye overvåkningsfly, kampfly og ubåter. Noen partier har vært imot, men det brede flertallet på Stortinget er for disse investeringene. Det er bra med bred enighet om viktige forsvarsinvesteringer, og det er viktig at Forsvaret er mer til stede i nord. Vi skal ha reell sikkerhetspolitisk sjølråderett, og da må vi være til stede. 

Derfor er det veldig vanskelig å forstå hvorfor forsvarsministeren insisterer på å bygge ned Hæren i indre Troms. I dag har vi 600 stående soldater i det som kalles Hærens 2. bataljon i indre Troms. Denne hæren, denne bataljonen, vil forsvarsministeren gjøre om til en tilkallingshær. Forsvarets varslingstider blir jo kortere. Da trenger vi soldater som faktisk er der, som er til stede og er klare til innsats. Forsvarsministeren vil gjøre om 2. bataljon til en styrke bestående av tidligere vernepliktige, og enten de studerer i USA eller de er på oljeplattform, må de ringes til hvis noe skjer. 

Forsvarssjefen advarer mot å gjennomføre forsvarsministerens plan. Forsvarsministeren har heller ingen vedtak i Stortinget som gir ham noen som helst rett til å bygge ned Hæren. En enstemmig kontrollkomité, også med representanter fra Høyre og de andre regjeringspartiene, konstaterte i mai om regjeringas fullmakt til å omgjøre 2. bataljon til en tilkallingsstyrke: «Komiteen finner ikke slik hjemmel dokumentert.»

Hvorfor er forsvarsministeren uenig med en enstemmig kontrollkomité?

",Anniken Huitfeldt,Arbeiderpartiet,2019-12-18,2019-12-18
1913,2019-2020,"Luftambulansetjenesten i Nord-Norge er svekket. Operatøren leverer ikke i henhold til kontrakt. Fylkeslegen i Troms og Finnmark har høynet beredskapsnivået. Helse Nord har satt krisestab. Nordlys rapporterte nylig at de tekniske feilene som satte fire av operatørens fly på bakken, var kjent for Luftambulansetjenesten HF allerede i august. 
Hvordan vil statsråden sørge for at eventuelle andre tekniske, organisatoriske eller personellmessige mangler som kan svekke beredskapen denne vinteren, blir offentliggjort og håndtert?",Tore Hagebakken,Arbeiderpartiet,2019-12-12,2019-12-18
1914,2019-2020,"Babcock Scandinavian AirAmbulance fikk tildelt anbudet for luftambulansetjenesten før de hadde etablert organisasjon med ledelse, fly, teknisk personell og piloter. Selskapet hadde ikke erfaring fra ambulanseflytransport i Norge.
Hvordan kunne Luftambulansetjenesten HF (LAT HF) uten å gjennomføre en egen sårbarhets- og risikoanalyse konkludere med at Babcock kunne levere en tilfredsstillende kvalitet, og har statsråden etter dette tillit til ledelsen i LAT HF?",Per Olaf Lundteigen,Senterpartiet,2019-12-12,2019-12-18
1915,2019-2020,"Regjeringen har satt ned en ekspertgruppe som skal utrede framtidig drift av luftambulansetjenesten. I mandatet ligger at de skal utrede dagens organisering, offentlig drift eller ideell drift. Dette er et svært åpent mandat, som kan innebære at man ender opp med dagens organisering. 
Med bakgrunn i erfaringene fra beredskapssvikten vi ser nå, ser statsråden behovet for å endre mandatet slik at dette begrenses til å utrede offentlig drift og/eller ideell drift i framtiden?",Sigbjørn Gjelsvik,Senterpartiet,2019-12-12,2019-12-18
1916,2019-2020,"Statsråden har en rekke ganger henvist til at det er over 100 pst. dekning i beredskapen, samtidig som leger og personell på bakken rapporterer om at syke personer ikke har fått hjelpen de trenger. Det er behov for en beregning som ikke bare viser antall fly, men også hvorvidt nødvendige oppdrag blir løst, og det lokale behovet. 
Vil vi få det?",Kari Elisabeth Kaski,Sosialistisk Venstreparti,2019-12-12,2019-12-18
1917,2019-2020,"Beredskapssvikten i luftambulansetjenesten har ført til at betydelige ekstraressurser er satt inn, blant annet fra Forsvaret. I tillegg har situasjonen krevd økt beredskap i helsetjenesten. Babcock har ikke levert på kontrakt når det gjelder beredskap i noen måneder siden 1. juli, da de tok over ansvaret.  
Kan statsråden gi en oversikt over kostnader for ekstraressurser som er satt inn fra juli og fram til i dag, for å sikre forsvarlig beredskap i luftambulansetjenesten, og hvem som skal betale?",Kjersti Toppe,Senterpartiet,2019-12-12,2019-12-18
1918,2019-2020,"Universitetssykehuset Nord-Norge, UNN, beskriver en svært tung høst, der halvparten av de 286 uønskede hendelsene skyldes en svikt i luftambulansens beredskap. 
Hvilke kompenserende tiltak får UNN som konsekvens av at de må sette kriseberedskap og har satt inn doble team på akuttsentralen?",Mona Fagerås,Sosialistisk Venstreparti,2019-12-12,2019-12-18
1919,2019-2020,"Det har vært en svikt i luftambulanseberedskapen i hele høst, og det er åpenbart et behov for å styrke beredskapen, også etter at den akutte krisen med fly på bakken er løst. Ifølge statsråden vil det ta for lang tid å benytte seg av tilbudet fra tidligere velfungerende tilbyder om å stille med både fly som er tilpasset. 
Stemmer det, og hvorfo​​r har i så fall ikke dette arbeidet startet for lenge siden?",Torgeir Knag Fylkesnes,Sosialistisk Venstreparti,2019-12-12,2019-12-18
1920,2019-2020,"Luftambulansetjenesten HF er nå i kontakt med Lufttransport for å få hjelp under den pågående krisen. 
Hva er status i disse forhandlingene, og når man kan forvente at flyambulansetjenesten er på kontraktsfestet nivå, uten eksterne, ekstra ressurser og krisetiltak?",Bjørnar Moxnes,Rødt,2019-12-12,2019-12-18
1921,2019-2020,"Regjeringen har ansvar for å sikre Norges digitale kapasitet. Svenske myndigheter innhenter jevnlig kunnskapsgrunnlag om behovet for IT-sikkerhetkompetanse. Sveriges anslåtte behov for IT-studieplasser er langt høyere enn det Norge opererer med. IKT-bransjen i Norge mener at dimensjoneringa er for liten, og at Norge vil sakke akterut uten bedre beslutningsgrunnlag. 
Hvorfor vil ikke statsråden etablere et helhetlig og oppdatert kunnskapsgrunnlag om behovet for personer med IKT-sikkerhetskompetanse?",Nina Sandberg,Arbeiderpartiet,2019-12-12,2019-12-18
1922,2019-2020,"Hestenæringen er en stor næringsaktør som genererer ca. 16 500 årsverk i hele landet. Nå ringer alarmklokkene i næringen, og det varsles store kutt som vil ramme arbeidsplasser og sette utdanning og rekruttering innen næringen i fare. Om ikke rammevilkårene bedres, vil vi også få kutt i forskning på dyrevelferd, sikring av truede hesteraser og kutt i mulighetene for ulike terapibehandlinger, Hest i helse er et eksempel. Tilbudene på rideklubbene vil også bli påvirket. 
Hva vil statsråden gjøre for å trygge hestenæringen?",Stein Erik Lauvås,Arbeiderpartiet,2019-12-12,2019-12-18
1923,2019-2020,"I Meld. St. 6 (2019–2020) Tett på – tidlig innsats og inkluderende fellesskap i barnehage, skole og SFO kommer regjeringen med sine løsninger. Et forslag fra regjeringa er et ekspertutvalg som skal se på skolebidragsindikatorene, og et annet er økt testing og datainnsamling der statistikk og data om barnehage, skole og det enkelte individ skal bli samlet og systematisert. 
På hvilken måte svarer disse tiltakene på problematikken rundt press og stress i skolen, som elever, lærere og foreldre melder om?",Marit Knutsdatter Strand,Senterpartiet,2019-12-12,2019-12-18
1924,2019-2020,Vil statsråden revurdere sitt nei til å komme til Stortinget for å gi en samlet og helhetlig redegjørelse for hele krisa i barnevernet?,Kari Henriksen,Arbeiderpartiet,2019-12-12,2019-12-18
1925,2019-2020,"Fafo har på oppdrag fra Fellesorganisasjonen gjennomført en større undersøkelse om vold og trusler i helse- og sosialsektoren ""Vold, trusler og trakassering i helse- og sosialsektoren"", Fafo-rapport 2019:32. Rapporten avdekker et alvorlig omfang av vold og trusler mot ansatte. 45 prosent av dem som jobber med barn, unge og voksne med spesielle behov, har det siste året opplevd vold eller trusler på jobb.
Hvilke nye tiltak vil statsråden vurdere for å sikre at alle kan være trygge på jobb?",Elise Waagen,Arbeiderpartiet,2019-11-20,2020-01-08
1926,2019-2020," Jeg kommer fra ulvesonen,  og regjeringen behandler oss nærmest som en dyrehage. Nylig gjorde  en ulv stor skade i beiteprioriterte områder utenfor ulvesonen.  Fylkesmannen ga fellingstillatelse, men regjeringen stoppet skyting  av ulven og bestemte at den isteden skulle flyttes med helikopter  inn i ulvesonen. 

Det er nå tre i Norge som er kjent for å bruke privathelikopter i miljøets navn – det er Petter og Gunhild Stordalen og ulven. Det er veldig dyrt, og ulvesonen er allerede overfylt av ulv. Stortinget har sagt klart ifra at ulvesonen ikke skal være et ulvereservat. Ulven skal også forvaltes og skytes inne i ulvesonen når det er for mange ulver. Det er det nå. Det å bruke store summer på helikopter, på bedøvelse og på undersøkelser for å flytte en ulv inn i ulvesonen, hvor det renner over av ulv fra før av, framstår som veldig provoserende og helt hodeløst. I tillegg er det ekstra provoserende at ordføreren og de folkevalgte i Kongsvinger kommune, hvor ulven ble plassert, heller aldri ble spurt om dette var greit for lokalbefolkningen. 

Forstår statsråden at det er dypt provoserende for folk både i og utenfor ulvesonen når man nok en gang opplever at regjeringen ikke lytter til dem og skyter ulven, men isteden velger å sløse bort penger på helikopter og andre ting for å flytte den inn i ulvesonen? 

",Emilie Mehl,Senterpartiet,2019-11-20,2019-11-20
1927,2019-2020," Mitt spørsmål går også til  klimaministeren. 

Nå er det én måned til Norge skulle nådd våre klimamål for 2020. Denne regjeringen har i seks år sagt at de målsettingene skulle vært forsterket. Nå vet vi hva som er fasiten: Det ble ingen forsterkning, det ble en krasjlanding, for Norge kommer ikke til å være i nærheten av å nå våre målsettinger. 

Denne regjeringen har ikke hatt noen politikk for å komme i mål med klimaarbeidet. Jeg synes et veldig godt bilde på hvorfor vi ikke lykkes, var da næringsministeren møtte i Stortinget og ble spurt om status på klimamålene. Da svarte han at han ikke visste hva klimamålene var, han visste ikke om vi var i rute for å nå dem, og han mente heller ikke at han som næringsminister hadde et ansvar for å nå dem. Men skal vi nå klimamålene våre, må alle med: næringslivet, arbeidsgivere, arbeidstakere, offentlig sektor og miljøorganisasjonene. Og selv om vi fra denne regjeringen hører fra statsrådshold at miljøbevegelsen er nærmest en av de største truslene som Norge står overfor, så mener vi at alle gode krefter er avgjørende for at Norge skal lykkes i klimaarbeidet. 

Nå er det snart fem år siden Stortinget bestemte at vi skulle få på plass en klimaavtale med EU for 2030. Nå kommer snart datoen da Ola Elvestuen skal sende inn klimaplanen, men som eneste europeiske land har Norge valgt å holde denne hemmelig, og den har ikke vært på høring blant dem som skal være med og gjennomføre det. Det er oppskriften på at vi ikke skal nå våre mål. Regjeringens klimapolitikk blir ikke bedre av at den er hemmelig; det er mer en illustrasjon på at vi ikke sitter med svarene på hvor kuttene skal gjøres, og hvor store de blir. Nettopp derfor burde man jo ha trukket folk med seg i stedet for å smelle igjen døra. 

Mitt spørsmål til klimaministeren er derfor: Hvorfor har han som eneste klimaminister i Europa valgt å ikke la noen få innsyn i hva han skal sende inn som klimaplan for 2030, og hvorfor mener han at dette arbeidet blir bedre av at det ikke sendes ut på høring?

",Åsmund Aukrust,Arbeiderpartiet,2019-11-20,2019-11-20
1928,2019-2020," Mitt spørsmål går til klima-  og miljøminister Ola Elvestuen.

Snart kommer vinteren, snart kommer den kalde, fine tiden og forhåpentligvis mang en flott skitur. Men med vinteren og skiene og konkurransen kommer også miljøgiften fluor snikende med i noe av skismøringen.

De siste ukene har flere medier satt søkelys på miljø- og helsekonsekvensene av fluormiljøgiften i skismøring, både for dem som bruker smøringen, og dem som produserer den. Skismørere som har jobbet for norske langrennsløpere, og folk som har smurt ski for barna sine med fluor, kan fortelle om sterke helseplager. Leger er åpne for at dette kan være årsaken til – eller også bidra til – kreft. I verste fall kan fluorsmøringen ha bidratt til kreft og dødsfall. 

I tillegg er dette et alvorlig miljøproblem. Nylig fant en forsker miljøgifter fra skismøring i levende organismer i skiområdet i Granåsen i Trondheim. I meitemarken var det totale innholdet av fluorholdige miljøgifter 35 pst. høyere i skianlegget enn i områdene som ble brukt som sammenligningsområder.

Denne saken er nå så alvorlig at vi må reagere. Bruk av fluorsmøring er derfor forbudt på idrettsarrangementer for barn under 16 år. I går foreslo SV å forby bruken av fluorsmøring på alle idrettsarrangementer i Norge, også internasjonale.

Mitt spørsmål til klima- og miljøministeren er: Er han enig med SV i at vi må forby bruken av fluorsmøring på alle idrettsarrangementer i Norge?

",Lars Haltbrekken,Sosialistisk Venstreparti,2019-11-20,2019-11-20
1929,2019-2020," Mitt spørsmål går til minister  Dale.

Mer internasjonal transport og kabotasjekjøring gir usunn konkurranse i transportnæringen. Sjåfører har et enormt press fra både arbeidsgiver og oppdragsgiver. De kjører tunge biler med små marginer, og det er ekstra krevende om vinteren. 70 pst. av de kontrollerte utenlandske sjåførene har ulovlig lav lønn, og i tillegg arbeider mange under andre ulovlige og uverdige forhold. I Norge er det utenlandske sjåfører som kjører med lønninger ned mot 30 kr timen, bor i bilen i uker og måneder, lager mat ute på primus og går på do i skogen. De har ikke råd til å leie et rom selv om det er 20–30 minusgrader ute.

Norske vinterveier krever gode, uthvilte sjåfører, tilpasset utstyr og skikkelige dekk. Kontrollører møter utenlandske sjåfører som jubler for at dårlige dekk blir oppdaget, fordi arbeidsgiveren mener at de kan kjøre en stund til på blankslitte dekk. Så dagens usunne konkurranse fører ikke bare til et hardt press på sjåfører og norsk transportnæring, det fører også til farlig tungtransport på norske vinterveier.

Det er et godt prinsipp at føreren av bilen er ansvarlig, men når sjåføren jobber under forhold hvor arbeidsgiver ikke tar lønn, lov og sikkerhet alvorlig, ser ikke statsråden at det må sterkere virkemidler til, i tillegg til å gjøre enkeltsjåfører ansvarlig? 

",Siv Mossleth,Senterpartiet,2019-11-20,2019-11-20
1930,2019-2020," Mitt spørsmål går til statsråd  Ropstad.

Denne regjeringa har satt likestillingen i revers. Dens eksistensgrunnlag er innstramming av abortloven. 

Statsråden har hatt det travelt den siste tida. Han har hatt så mange ting å tenke på at han dessverre ikke har tatt seg tid til å komme til Stortinget for å redegjøre for krisen og menneskerettsbruddene i barnevernet. Derimot har han hatt tid til å bekymre seg for både innføring av ettbarnspolitikk i Norge og at omsorg for dyr skal settes over omsorg for mennesker, og nå har han altså gjort en innsats i regjeringa for at LHBTI-personer ikke skal beskyttes mot å bli utsatt for overgrep, under dekke av trosfrihet og sjelesorg. 

Biskop Solveig Fiske sier det godt: 

Det vi ser, er at Kristelig Folkeparti binder de øvrige regjeringspartiene til sin vetopolitikk på verdispørsmål i regjeringa. Kvinner fratas sin selvbestemmelse, og LHBTI-folk må betale prisen for at Kristelig Folkeparti nå synes å få gjennomslag for sin konservative verdipolitikk. 

Arbeiderpartiet har foreslått å forby denne krenkende, diskriminerende og livstruende praksisen, som også ødelegger barn og unges oppvekst, og til og med gjør at unge mennesker tar livet sitt. Hvordan kan barneministeren, som er statsråd for disse sårbare unge som utsettes for dette, sitte og se på, og samtidig ikke bli med på å si at dette er noe som vi skal forby? 

",Kari Henriksen,Arbeiderpartiet,2019-11-20,2019-11-20
